term,estimate,std.error,statistic,p.value
phase::p19_21:Treated,-3.2688218542679124,0.2490716718372716,-13.124021010320126,9.555787349879469e-4
phase::p21_23:Treated,-1.3639565586385802,0.8911557377481538,-1.5305479175672916,0.22337795197411606
phase::p23p:Treated,-1.3392061077702686,0.26809813888716066,-4.995208520764572,0.015432941254078217
